Price,Address,Squares,Rooms,Floor
2.000 €,"Opština Savski venac, Beograd na vodi, BW Simfonija",86 m2,3.0,IX/16
2.650 €,"Opština Savski venac, Beograd na vodi, Nikolaja Kvarcova",140 m2,5+,VIII/8
1.100 €,"Opština Novi Beograd, Blok 67a (A blok), Uroša Martinovića",54 m2,2.0,I/7
2.200 €,"Opština Savski venac, Beograd na vodi, Hercegovačka",92 m2,3.0,VIII/20
1.000 €,"Opština Novi Beograd, Blok 65, Omladinskih brigada",62 m2,2.0,IV/7
700 €,"Opština Novi Beograd, Arena, Španskih boraca",67 m2,2.5,II/4
800 €,"Opština Savski venac, Beograd na vodi, Hercegovačka",29 m2,0.5,I/24
1.300 €,"Opština Savski venac, Beograd na vodi, Luke Ćelovića Trebinjca",54 m2,2.0,III/7
500 €,"Opština Voždovac, Centar, Save Maškovića",47 m2,2.0,II/7
380 €,"Opština Novi Beograd, Paviljoni, Generala Ždanova",23 m2,1.0,VI/6
550 €,"Opština Novi Beograd, Hotel Jugoslavija, Bulevar Nikole Tesle",36 m2,1.5,V/5
690 €,"Opština Stari grad, Skupština, Svetogorska",64 m2,2.0,III/6
600 €,"Opština Palilula, Karaburma, ",52 m2,2.5,II/5
420 €,"Opština Zemun, Pregrevica, Pregrevica",32 m2,1.0,PR
300 €,"Opština Zvezdara, Veliki Mokri Lug, Partizanska",54 m2,2.0,I/4
500 €,"Opština Rakovica, Skojevsko naselje, Luke Vojvodića",40 m2,2.0,VPR/3
800 €,"Opština Voždovac, Bulevar oslobođenja, Bulevar oslobođenja",76 m2,2.0,III/3
700 €,"Opština Vračar, Crveni krst, Branka Krsmanovića",60 m2,2.5,II/4
600 €,"Opština Zemun, Zemunske kapije, Šumadijska",52 m2,2.0,VPR
400 €,"Opština Grocka, Kaluđerica, Bulevar revolucije",40 m2,2.0,III/5
1.400 €,"Opština Savski venac, Beograd na vodi, Hercegovačka",56 m2,2.0,IX
1.590 €,"Opština Savski venac, Beograd na vodi, Luke Ćelovića Trebinjca",80 m2,3.0,PR/8
700 €,"Opština Novi Beograd, Blok 65, Omladinskih brigada",40 m2,1.0,III/7
850 €,"Opština Novi Beograd, Blok 65, Tadije Sondermajera",55 m2,2.0,II/9
700 €,"Opština Voždovac, Lekino brdo, Veselina Masleše",45 m2,2.0,III/4
350 €,"Opština Palilula, Krnjača, Sutjeska ulica 1.",50 m2,2.5,II/4
590 €,"Opština Vračar, Crveni krst, Vojvode Šupljikca",55 m2,2.0,VPR/3
380 €,"Opština Palilula, Karaburma, Marijane Gregoran",24 m2,1.0,PR/2
550 €,"Opština Savski venac, Humska, Ljutice Bogdana",62 m2,2.0,VI/12
370 €,"Opština Voždovac, Medaković 2, Radovana Simića Cige",35 m2,1.0,III/8
600 €,"Opština Zvezdara, Gradska bolnica, Velebitska",65 m2,2.5,II/3
430 €,"Opština Zvezdara, Đeram pijaca, Jedrenska",39 m2,1.0,III/5
990 €,"Opština Zemun, Gornji grad, Slavonska",78 m2,3.0,II/2
220 €,"Opština Zemun, Altina, Aleksandra Popovića",20 m2,0.5,II
1.100 €,"Opština Novi Beograd, YUBC, Bulevar Mihajla Pupina",90 m2,3.0,VI/6
600 €,"Opština Novi Beograd, Stari Merkator, Džona Kenedija",42 m2,2.0,II/6
530 €,"Opština Vračar, Čubura, Cerska",37 m2,1.5,I/4
500 €,"Opština Čukarica, Filmski grad, Arčibalda Rajsa",60 m2,2.5,I/4
650 €,"Opština Novi Beograd, Stari Merkator, Kursulina",40 m2,2.0,III/7
300 €,"Opština Vračar, Centar, Sime Igumanova",22 m2,1.0,XI/13
900 €,"Opština Vračar, Južni bulevar, Gavrila Principa",115 m2,4.0,V/7
800 €,"Opština Novi Beograd, Blok 65, Tosin Bunar",52 m2,2.0,III/6
650 €,"Opština Voždovac, Autokomanda, Vojvode Stepe",56 m2,2.0,II/4
799 €,"Opština Vračar, Crveni krst, Djerdapska",48 m2,2.0,I/5
1.070 €,"Opština Savski venac, Beograd na vodi, Luke Ćelovića Trebinjca",55 m2,2.0,I/23
1.500 €,"Opština Voždovac, Vojvode Stepe, ",83 m2,2.5,VII/12
2.500 €,"Opština Savski venac, Beograd na vodi, Nikolaja Kravcova",114 m2,3.0,VIII/9
400 €,"Opština Stari grad, Knez Mihailova, Rajićeva",24 m2,0.5,III/3
2.100 €,"Opština Savski venac, Beograd na vodi, Hercegovačka",86 m2,3.0,IX/16
450 €,"Opština Novi Beograd, Blok 70 (kineski tržni centar), Jurija Gagarina",56 m2,2.0,VIII/14
1.500 €,"Opština Savski venac, Beograd na vodi, Savska",86 m2,3.0,V/6
2.000 €,"Opština Savski venac, Beograd na vodi, Hercegovačka",115 m2,4.0,XXI
600 €,"Opština Voždovac, Lekino brdo, Miklošićeva",54 m2,2.5,PR
700 €,"Opština Savski venac, Dedinje, Josifa Marinkovića",58 m2,2.0,III/4
900 €,"Opština Zvezdara, Lion",80 m2,3.0,III/6
300 €,"Opština Palilula, Bogoslovija, Sloga",26 m2,1.0,II/4
1.700 €,"Opština Vračar, Gradić Pejton, Cara Nikolaja II",97 m2,3.0,N/A
1.800 €,"Opština Savski venac, Beograd na vodi",83 m2,3.0,V/8
800 €,"Opština Zvezdara, Lion",51 m2,2.0,VI/6
1.500 €,"Opština Savski venac, Resavska",95 m2,3.0,IV/5
650 €,"Opština Savski venac, Senjak, Vase Pelagica",45 m2,2.0,II/5
1.000 €,"Opština Voždovac, Lekino brdo, Todora Dukina",80 m2,3.0,VPR
300 €,"Opština Zemun, Bački Ilovik, Sremskih boraca",30 m2,0.5,III/3
400 €,"Opština Savski venac, Stadion Partizana, Oblakovska",43 m2,1.5,VPR/3
400 €,"Opština Zemun, Centar, Bežanijska",40 m2,1.0,I/2
1.300 €,"Opština Stari grad, Dorćol, Venizelosova",50 m2,2.0,V/6
1.100 €,"Opština Novi Beograd, Blok 67a (A blok), Jurija Gagarina",74 m2,3.0,V
850 €,"Opština Novi Beograd, Blok 67a (A blok), Jurija Gagarina",50 m2,2.0,VI
4.000 €,"Opština Vračar, Hram svetog Save, Nebojšina",240 m2,5.0,VI
350 €,"Opština Palilula, Bogoslovija, Čiče Romanijskog 9",40 m2,0.5,N/A
800 €,"Opština Voždovac, Činovnička kolonija",65 m2,2.0,III
500 €,"Opština Novi Beograd, Fontana, Pariske Komune",42 m2,2.0,PR/9
1.700 €,"Opština Savski venac, Beograd na vodi, Luke Ćelovića Trebinjca",89 m2,3.0,N/A
400 €,"Opština Novi Beograd, Blok 64, Gandijeva",40 m2,1.0,III/5
500 €,"Opština Novi Beograd, YUBC, Bulevar Mihajla Pupina",38 m2,1.0,IV/6
1.500 €,"Opština Vračar, Gospodara Vučića, Gospodara Vučića",90 m2,4.0,II/7
850 €,"Opština Novi Beograd, Blok 67a (A blok), Uroša Martinovića",56 m2,2.0,V
2.500 €,"Opština Savski venac, Dedinje",138 m2,4.0,N/A
1.600 €,"Opština Vračar, Crveni krst, ",90 m2,4.0,V
700 €,"Opština Novi Beograd, Blok 67 (Belvil), ",60 m2,2.0,VIII/12
600 €,"Opština Voždovac, Vitanovačka, Nestora Žučnog",49 m2,2.0,PR/4
1.600 €,"Opština Savski venac, Beograd na vodi, ","71,73 m2",3.0,III/14
450 €,"Opština Novi Beograd, Blok 21, Bulevar Mihajla Pupina",45 m2,2.0,II/8
999 €,"Opština Novi Beograd, Blok 64, Jurija Gagarina",90 m2,4.0,VI/7
500 €,"Opština Palilula, Višnjička Banja, Dragana Lukića",46 m2,2.0,PR/4
800 €,"Opština Zvezdara, Đeram pijaca, Marka Oreškovića",61 m2,2.5,III/6
1.300 €,"Opština Novi Beograd, Blok 65, Tadije Sondermajera Zeptera",70 m2,3.0,VIII/9
250 €,"Opština Grocka, Kaluđerica, Jovana Cvijića",30 m2,0.5,II/3
1.400 €,"Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona",80 m2,3.0,XI/15
1.550 €,"Opština Novi Beograd, Stari Merkator, Džona Kenedija",85 m2,2.0,IV/7
700 €,"Opština Novi Beograd, Ledine, Knjigovezačka 3",60 m2,2.5,VPR/4
1.650 €,"Opština Savski venac, Beograd na vodi, Hercegovačka",80 m2,3.0,N/A
899 €,"Opština Novi Beograd, Blok 67a (A blok), Uroša Martinovića",62 m2,2.0,IV/7
450 €,"Opština Zvezdara, Lion, Ravanicka",42 m2,1.5,II/3
500 €,"Opština Zvezdara, Denkova bašta, Mis Irbijeve",58 m2,2.0,III/5
1.200 €,"Opština Voždovac, Šumice, Djordja Kratovca",94 m2,4.0,III
790 €,"Opština Vračar, Crveni krst, Vidovdanska",47 m2,2.0,IV/6
1.500 €,"Opština Novi Beograd, Blok 67a (A blok)",80 m2,3.0,V
2.000 €,"Opština Savski venac, Dedinje",100 m2,4.0,I
1.200 €,"Opština Savski venac, Beograd na vodi, ",53 m2,2.0,IV/23
2.000 €,"Opština Savski venac, Senjak",130 m2,4.0,I
750 €,"Opština Vračar, Crveni krst",58 m2,2.0,I
700 €,"Opština Savski venac, Sarajevska",50 m2,2.0,II/5
650 €,"Opština Novi Beograd, Hotel Jugoslavija, Klare Cetkin",65 m2,3.0,I/4
