Price,Address,Squares,Rooms,Floor
3.000 €,"Opština Stari grad, Centar, Gospodar Jovanova",145 m2,4.0,V
3.500 €,"Opština Novi Beograd, Blok 65, Omladinskih brigada",105 m2,4.0,XXIX/30
799 €,"Opština Palilula, Višnjička Banja, Mirka Milojkovića",80 m2,3.0,V/5
800 €,"Opština Voždovac, Saobraćajni fakultet",50 m2,2.0,V/12
2.500 €,"Opština Savski venac, Beograd na vodi, Luke Ćelovića Trebinjca","156,33 m2",5+,XIII/15
350 €,"Opština Voždovac, Konjarnik, Ustanička",28 m2,1.0,VPR/5
400 €,"Opština Zemun, Centar, Starca Vujadina",17 m2,1.0,I/3
1.000 €,"Opština Vračar, Centar, Hadži Ruvimova",107 m2,4.0,VI/7
550 €,"Opština Novi Beograd, Blok 72, Mileve Marić Ajnštajn",42 m2,2.0,IV/7
290 €,"Opština Voždovac, Rakovica selo, Miodraga Jovanovića 55 g",60 m2,2.0,I/2
600 €,"Opština Zvezdara, Cvetkova pijaca, Miodraga Petrovića Čkalje",41 m2,1.5,I/5
650 €,"Opština Zvezdara, Konjarnik, Bojadžinska","62,82 m2",3.0,VPR/4
400 €,"Opština Savski venac, Gavrila Principa, Gavrila Principa",33 m2,1.0,I/1
450 €,"Opština Surčin, Surčin (mesto), Matice srpske",47 m2,1.5,I/3
1.490 €,"Opština Stari grad, Dorćol, Svetozara Miletića",51 m2,2.0,III/4
3.000 €,"Opština Savski venac, Senjak, Vladete Kovačevića",180 m2,5.0,I/4
1.400 €,"Opština Stari grad, Dorćol",50 m2,2.0,V/6
375 €,"Opština Palilula, Profesorska kolonija, Čarli Čaplina",23 m2,1.5,II/2
400 €,"Opština Novi Beograd, Blok 18 (Staro sajmište), Sajmušte 4",35 m2,2.0,I/1
400 €,"Opština Zvezdara, Vukov Spomenik, Mitropolita Mraovića",40 m2,2.0,I/2
500 €,"Opština Stari grad, Kralja Petra, Kralja Petra",24 m2,1.0,II/5
450 €,"Opština Voždovac, Banjica, Bulevar JNA 2 ,Banjica",50 m2,1.5,VPR/6
1.100 €,"Opština Savski venac, Beograd na vodi, Luke Ćelovića Trebinjca",55 m2,2.0,I/8
400 €,"Opština Zvezdara, Đeram pijaca, Presevska",50 m2,2.0,PR/1
330 €,"Opština Zvezdara, Cvetkova pijaca, Dr Velizara Kosanovića",28 m2,0.5,III/3
340 €,"Opština Zemun, Altina, Simeona Koncarevica",35 m2,1.5,I/1
1.600 €,"Opština Voždovac, Autokomanda, Gospodara Vučića",98 m2,4.0,N/A
350 €,"Opština Voždovac, Medaković 2, Radovana Simića Cige",36 m2,1.0,X/12
450 €,"Opština Savski venac, Centar, Bulevar vojvode Mišića",25 m2,0.5,I/2
650 €,"Opština Stari grad, Skadarlija, Skadarska",24 m2,1.0,PSUT/4
2.400 €,"Opština Savski venac, Beograd na vodi, Luke Ćelovića Trebinjca","111,16 m2",4.0,VI/13
1.600 €,"Opština Savski venac, Beograd na vodi, Hercegovačka","69,30 m2",3.0,XI/15
890 €,"Opština Rakovica, Vidikovac, Kneza Viseslava 63",55 m2,2.0,VI/7
400 €,"Opština Zvezdara, Cvetanova ćuprija, Cvetanova ćuprija",44 m2,2.0,I/4
500 €,"Opština Novi Beograd, Ledine, Zografska",55 m2,2.0,VPR/3
530 €,"Opština Stari grad, Dorćol, Francuska",30 m2,0.5,VI/6
350 €,"Opština Palilula, Kotež, Konjuh planine",39 m2,1.5,I/3
600 €,"Opština Palilula, Višnjička Banja, Slanački put",48 m2,2.0,IV/5
1.200 €,"Opština Novi Beograd, Blok 65, Omladinskih brigada",62 m2,3.0,I/8
750 €,"Opština Vračar, SC Vračar, Tome Maksimovića",46 m2,2.0,III
700 €,"Opština Savski venac, Centar, Gavrila Principa",44 m2,2.0,III/6
350 €,"Opština Zvezdara, Mali Mokri Lug, Stevana Mokranjca 10",30 m2,1.0,I
195 €,"Opština Voždovac, Konjarnik, Sinjska 38",30 m2,1.0,PR/1
560 €,"Opština Čukarica, Banovo brdo, Izvorska",46 m2,1.5,VPR/3
270 €,"Opština Zemun, Gornji grad, Vodnička",29 m2,1.0,I
1.100 €,"Opština Čukarica, Banovo brdo, petra lekovica",108 m2,4.0,PR/3
300 €,"Opština Rakovica, Kneževac, Knezevacka",36 m2,1.0,III/3
300 €,"Opština Palilula, Karaburma, Patrisa Labumbe 76",27 m2,0.5,IV/6
350 €,"Opština Čukarica, Banovo brdo, Kirovljeva",54 m2,2.0,I/8
300 €,"Opština Voždovac, Braće Jerković, Mihaila Petrova",25 m2,1.0,PR/2
720 €,"Opština Stari grad, Zeleni venac, Kraljice Natalije",50 m2,2.0,V/5
850 €,"Opština Stari grad, Kopitareva gradina, Šafarikova",60 m2,2.0,III/4
650 €,"Opština Voždovac, Bioskop Voždovac, Gostivarska",45 m2,2.0,VPR/5
1.300 €,"Opština Savski venac, Beograd na vodi",58 m2,2.0,III/8
1.700 €,"Opština Stari grad, Dorćol, Venizelosova",80 m2,3.0,V/7
2.500 €,"Opština Stari grad, Dorćol, ",96 m2,3.0,II/5
850 €,"Opština Vračar, Hram svetog Save, Krušedolska",52 m2,2.0,V
400 €,"Opština Voždovac, Vojvode Vlahovića, Mate Milosevica 3",47 m2,2.0,I/6
700 €,"Opština Novi Beograd, Hotel Jugoslavija, Aleksinačkih rudara",88 m2,3.5,II
400 €,"Opština Novi Beograd, Blok 30 (B92), Bulevar Mihajla Pupina",40 m2,1.5,X/17
1.000 €,"Opština Palilula, Dalmatinska, Vladetina",80 m2,3.0,V
800 €,"Opština Voždovac, Lekino brdo, Miklošićeva",50 m2,2.5,II/3
1.000 €,"Opština Stari grad, Dorćol, Cara Dušana",62 m2,2.0,IV/6
350 €,"Opština Čukarica, Filmski grad, Ilije Stojadinovića","32,50 m2",1.0,II/3
500 €,"Opština Zvezdara, Kluz, Jove Ilića",54 m2,2.0,I
1.850 €,"Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona",75 m2,3.0,V/21
470 €,"Opština Zemun, Altina, Ugrinovacki put 30 deo br 46",37 m2,1.5,I/3
400 €,"Opština Vračar, Hram svetog Save, Šumatovačka",31 m2,0.5,VPR/4
800 €,"Opština Novi Beograd, Sava centar, Vladimira Popovića",61 m2,2.0,II/7
900 €,"Opština Palilula, Botanička bašta, Bulevar despota Stefana",80 m2,3.0,III/5
550 €,"Opština Savski venac, Beograd na vodi, Durmitorska",30 m2,1.5,VII/8
1.200 €,"Opština Novi Beograd, Sava centar",90 m2,2.0,VII/8
800 €,"Opština Čukarica, Banovo brdo, Kraljice Katarine",90 m2,4.0,II/3
500 €,"Opština Vračar, Južni bulevar, Sime Igumanova",41 m2,2.0,IV/6
800 €,"Opština Vračar, Gospodara Vučića, Mlade Bosne",40 m2,2.0,I/5
960 €,"Opština Zvezdara, Konjarnik, Danice Marković",105 m2,4.0,IV
400 €,"Opština Čukarica, Vodovodska, Branka Cvetkovica 51-a",37 m2,2.0,III/3
270 €,"Opština Zemun, Prvomajska, Živka Petrovića",20 m2,0.5,PR/2
700 €,"Opština Stari grad, Centar, Vojvode Dobrnjca",59 m2,2.5,II/4
550 €,"Opština Novi Beograd, Fontana, Bulevar Mihajla Pupina",40 m2,2.0,V
1.000 €,"Opština Vračar, Hram svetog Save, Šumatovačka",72 m2,3.0,III/6
680 €,"Opština Zvezdara, Bulevar kralja Aleksandra, ",64 m2,3.0,I/7
550 €,"Opština Zvezdara, Kluz, Bulevar Kralja aleksandra - Braće Amar",50 m2,2.0,PR/1
550 €,"Opština Voždovac, Saobraćajni fakultet, Vojvode Stepe 312",31 m2,1.0,IX/12
1.100 €,"Opština Voždovac, Naselje Stepa Stepanović, Vojvode Stepe",83 m2,3.0,IV/7
2.000 €,"Opština Savski venac, Centar, Svetozara Markovića",185 m2,5+,III/8
400 €,"Opština Zvezdara, Mali Mokri Lug, Stevana Mokranjca",40 m2,1.5,I
1.000 €,"Opština Vračar, Hram svetog Save, Katanićeva",85 m2,3.0,II/6
350 €,"Opština Zemun, Gornji grad, Alaska",30 m2,1.5,VPR/5
550 €,"Opština Zvezdara, Mirijevo, Grge Jankesa",42 m2,1.5,III/8
580 €,"Opština Zemun, Marija Bursać, Marije Bursać",69 m2,3.0,VIII/12
700 €,"Opština Vračar, Bulevar kralja Aleksandra, Golsvordijeva",44 m2,1.5,V/6
550 €,"Opština Voždovac, Dušanovac, Danijelova",40 m2,2.0,III/5
350 €,"Opština Surčin, Surčin (mesto), Danila Kiša",51 m2,2.5,III/3
600 €,"Opština Novi Beograd, Blok 63, Gandijeva",42 m2,1.5,V/10
380 €,"Opština Voždovac, Voždovačka crkva, Bjelovarska",36 m2,1.0,PR/2
750 €,"Opština Stari grad, Skadarlija, Cetinjska",45 m2,2.0,III/5
350 €,"Opština Palilula, Karaburma, Mirijevski bulevar",49 m2,1.0,III/5
700 €,"Opština Zvezdara, Slavujev venac, Stjepana Ljubiše",53 m2,2.0,IV/5
450 €,"Opština Stari grad, Atelje 212, Svetogorska",32 m2,1.0,VPR/4
1.000 €,"Opština Vračar, Slavija, Kneginje Zorke",47 m2,2.0,IV/5
320 €,"Opština Zemun, Altina, Pavla Vujisića",40 m2,2.5,II/3
1.200 €,"Opština Stari grad, Trg Republike, Dositejeva",120 m2,4.0,I/6
5.000 €,"Opština Savski venac, Dedinje, Neznanog junaka",213 m2,4.0,II/4
400 €,"Opština Zvezdara, Vojvode Vlahovića, Miljana Miljanića",37 m2,2.0,III/3
5.000 €,"Opština Savski venac, Beograd na vodi, Luke Ćelovića Trebinjca",200 m2,5+,XI/11
400 €,"Opština Rakovica, Petlovo brdo, Nićifora Ninkovića",45 m2,2.0,N/A
600 €,"Opština Savski venac, Stadion Partizana, Ljutice Bogdana",55 m2,2.0,I/14
4.300 €,"Opština Savski venac, Dedinje, Heroja Milana Tepića",245 m2,5.0,III
550 €,"Opština Čukarica, Banovo brdo, Požeška",50 m2,2.0,I/5
650 €,"Opština Savski venac, Zeleni venac, Crnogorska",40 m2,1.5,V/6
1.200 €,"Opština Vračar, Hram svetog Save, Katanićeva",85 m2,3.0,II/6
600 €,"Opština Stari grad, Dorćol, Cara Dušana",40 m2,2.0,III/12
750 €,"Opština Zvezdara, Učiteljsko naselje, Kozarčeva",60 m2,3.0,PR/3
1.200 €,"Opština Novi Beograd, Sava centar, Vladimira Popovića",98 m2,3.0,II/7
2.000 €,"Opština Savski venac, Beograd na vodi, ","112,63 m2",4.0,XIII/23
600 €,"Opština Novi Beograd, Blok 70a, Omladinskih brigada",60 m2,2.0,VI
450 €,"Opština Stari grad, Centar, Džordža Vašingtona",25 m2,0.5,II/5
650 €,"Opština Vračar, Južni bulevar, Generala Horvatovića",37 m2,1.5,VPR
500 €,"Opština Palilula, Višnjička Banja, Mirka Milojkovića",45 m2,2.0,III/7
350 €,"Opština Čukarica, Žarkovo, Šavnička",48 m2,1.5,VPR/5
650 €,"Opština Zemun, Zelena avenija, Trogirska",38 m2,2.0,III/7
300 €,"Opština Rakovica, Petlovo brdo, Đuje i Dragoljuba",40 m2,1.5,IV/4
650 €,"Opština Palilula, 27. marta, Karnedžijeva7",47 m2,1.0,IX/12
450 €,"Opština Zvezdara, Mirijevo, Rudi Čajaveca",44 m2,1.5,I/4
1.400 €,"Opština Vračar, Čubura, Čuburska",113 m2,4.0,II
350 €,"Opština Palilula, Cvijićeva, Cvijićeva",26 m2,0.5,V/5
400 €,"Opština Vračar, Hram svetog Save, Mutapova",30 m2,0.5,VPR/5
2.000 €,"Opština Stari grad, K-District, Bulevar vojvode Bojovića",75 m2,3.0,IV/8
350 €,"Opština Stari grad, Dorćol, Džordža Vašingtona",15 m2,1.0,IV/5
600 €,"Opština Palilula, 27. marta, Miročka",50 m2,2.0,I/7
450 €,"Opština Palilula, Karaburma, Husinskih rudara",61 m2,3.0,III/5
440 €,"Opština Čukarica, Žarkovo, Ace Joksimovića",50 m2,2.0,III/3
350 €,"Opština Palilula, Krnjača, Partizanski blok ulica 2.",33 m2,1.5,II/3
450 €,"Opština Zvezdara, Dimitrija Tucovića, Primorska",45 m2,2.0,II/4
450 €,"Opština Vračar, Crveni krst, Vojislava Ilića",34 m2,1.5,VII/7
700 €,"Opština Zvezdara, Cvetkova pijaca, Živka Davidovića",47 m2,2.0,I/5
500 €,"Opština Zvezdara, Cvetkova pijaca, Ljube Davidovića",40 m2,2.0,I/3
550 €,"Opština Čukarica, Žarkovo, Vodovodska",79 m2,3.0,II
750 €,"Opština Novi Beograd, Blok 67 (Belvil), Jurija Gagarina",45 m2,2.0,IX
550 €,"Opština Voždovac, Bioskop Voždovac, Vojvode Stepe",47 m2,2.0,II
1.500 €,"Opština Voždovac, Autokomanda, Esad Pašina",100 m2,4.0,VPR/3
500 €,"Opština Zvezdara, Učiteljsko naselje, Kozarčeva",27 m2,2.0,I/2
1.200 €,"Opština Vračar, Južni bulevar, Kneza Stracimira",60 m2,3.0,IV/7
380 €,"Opština Rakovica, Centar, Kraljice Jelene",31 m2,1.0,II/3
450 €,"Opština Vračar, Kalenić pijaca, Molerova",36 m2,1.5,SUT/3
200 €,"Opština Rakovica, Kneževac, Kneževačka",44 m2,1.0,I/1
320 €,"Opština Palilula, Karaburma, Salvadora Aljendea",43 m2,1.0,I/5
500 €,"Opština Voždovac, Kumodraž, Decembarska",68 m2,2.0,I/1
450 €,"Opština Stari grad, Dorćol, Solunska",32 m2,1.0,III/6
400 €,"Opština Zemun, Muhar, Dunavska",36 m2,1.5,I/3
900 €,"Opština Vračar, Kalenić pijaca, Novopazarska",64 m2,2.5,V/6
280 €,"Opština Zvezdara, Mirijevo, nade puric",35 m2,1.0,N/A
750 €,"Opština Savski venac, Dedinje, Slavka Ćuruvije",75 m2,3.0,I/2
400 €,"Opština Palilula, Krnjača, Partizanski blok ulica 2.",60 m2,3.0,III/3
400 €,"Opština Čukarica, Filmski grad, Nebojše Đukelića",46 m2,2.0,IV/4
950 €,"Opština Savski venac, Resavska, Resavska",68 m2,2.5,I/6
700 €,"Opština Voždovac, Saobraćajni fakultet, Vojvode Stepe",90 m2,3.5,V/6
370 €,"Opština Voždovac, Medaković 2, Rastko Petrovića 47",26 m2,1.5,VPR
600 €,"Opština Palilula, Hala Pionir, Dragoslava Srejovića",55 m2,2.0,IV/11
600 €,"Opština Palilula, Cvijićeva, Cvijićeva",47 m2,2.0,VI/14
600 €,"Opština Zemun, Galenika, Dunavskih virova",70 m2,3.0,II/6
800 €,"Opština Zemun, Gornji grad, Dobanovačka",60 m2,3.0,III/6
600 €,"Opština Novi Beograd, Blok 45 (TC Enjub), Jurija Gagarina",54 m2,1.5,I/1
500 €,"Opština Zvezdara, Konjarnik, Glasinačka",41 m2,1.5,IV/9
450 €,"Opština Zvezdara, Vukov Spomenik, Zahumska",42 m2,1.5,VPR/4
300 €,"Opština Zvezdara, Konjarnik, Rudo",23 m2,0.5,VPR/27
1.000 €,"Opština Palilula, Hala Pionir, Dragoslava Srejovića",72 m2,3.5,IV/10
1.200 €,"Opština Savski venac, Resavska, Resavska",68 m2,3.5,VI/7
330 €,"Opština Zemun, Autoput za Novi Sad, Ugrinovacki put",25 m2,0.5,PR/5
500 €,"Opština Vračar, Neimar, Sime Igumanova",41 m2,1.5,IV/6
450 €,"Opština Savski venac, Savski trg - Pristanište, Kneza Miloša",38 m2,1.5,PSUT/6
400 €,"Opština Palilula, Tašmajdan, 27. marta",38 m2,2.0,V/5
750 €,"Opština Zvezdara, Cvetkova pijaca, Vjekoslava Kovača",56 m2,2.0,II/2
350 €,"Opština Čukarica, Žarkovo, Repiška",48 m2,2.0,I/3
550 €,"Opština Voždovac, Voždovačka crkva, Vojvode Stepe",56 m2,2.0,V/7
1.350 €,"Opština Voždovac, Vojvode Stepe, Kostolačka",116 m2,4.0,IV/6
450 €,"Opština Vračar, Čubura, Daničareva",36 m2,1.5,I/2
550 €,"Opština Stari grad, Dorćol, Cara Dušana",35 m2,1.0,II/7
330 €,"Opština Zemun, Galenika, Lazara Mamuzića",36 m2,1.5,I/2
400 €,"Opština Zemun, Save Kovačevića, Save Burića",55 m2,2.5,III
1.350 €,"Opština Vračar, Kalenić pijaca, Kičevska",100 m2,4.0,IV/6
1.500 €,"Opština Vračar, Krunski venac, Kumanovska",106 m2,4.0,I/5
600 €,"Opština Savski venac, Dedinje, Boška Petrovića",58 m2,2.0,I/4
150 €,"Opština Zemun, Kolonija Zmaj, Dušana Janićijevića",35 m2,0.5,PR/1
2.300 €,"Opština Stari grad, Centar, Makedonska",150 m2,5+,II/4
360 €,"Opština Zvezdara, Mirijevo, Dva bela goluba",34 m2,1.0,IV/5
690 €,"Opština Novi Beograd, Hotel Jugoslavija, Bulevar maršala Tolbuhina",70 m2,3.0,V/9
600 €,"Opština Zemun, Centar, Marka Nikolića",55 m2,2.0,I/4
300 €,"Opština Rakovica, Kneževac, Prvoboraca",32 m2,1.5,PR/4
450 €,"Opština Surčin, Ledine, Benkovačka",50 m2,2.0,I
450 €,"Opština Zemun, Centar, Kosovska",32 m2,2.0,IV/4
500 €,"Opština Grocka, Kaluđerica, Svetozara Markovića",60 m2,3.0,III/3
550 €,"Opština Palilula, Profesorska kolonija, Čarlija Čaplina",36 m2,1.5,VPR/6
650 €,"Opština Palilula, Karaburma, Milorada Dimitrijevića",59 m2,3.0,VII/7
350 €,"Opština Zvezdara, Zeleno brdo, Ilindenska","36,50 m2",1.5,SUT/6
500 €,"Opština Zvezdara, Učiteljsko naselje, Mis Irbijeve",53 m2,2.0,VPR/4
700 €,"Opština Zvezdara, Lion, Ulcinjska",98 m2,2.0,VI/6
400 €,"Opština Voždovac, Braće Jerković, Nade Naumović",37 m2,1.5,II
900 €,"Opština Stari grad, Dorćol, Mike Alasa",61 m2,2.0,I/8
250 €,"Opština Grocka, Kaluđerica, Dušana Kostića 6",55 m2,2.0,I/1
450 €,"Opština Voždovac, Lekino brdo, Todora Dukina",55 m2,2.0,I/2
650 €,"Opština Zvezdara, Bulbulder, Dimitrija Tucovica 117",50 m2,2.5,IV/6
700 €,"Opština Palilula, Poštanska štedionica, Dalmatinska",65 m2,3.0,II/4
1.000 €,"Opština Vračar, Južni bulevar, Gospodara Vučića",50 m2,2.0,III/4
950 €,"Opština Čukarica, Banovo brdo, Vase Stajića",60 m2,2.0,VI/6
500 €,"Opština Zvezdara, Mirijevo, Kapetana Miloša Žunjića",45 m2,1.5,III/3
250 €,"Opština Palilula, Krnjača, Zrenjaninski put",23 m2,1.0,IV/5
380 €,"Opština Palilula, Krnjača, Zrenjaninski put",40 m2,1.5,V/5
490 €,"Opština Vračar, Crveni krst, Gročanska",30 m2,1.0,VPR/5
1.250 €,"Opština Zvezdara, Bulbulder, Varovnička",165 m2,5+,II
500 €,"Opština Zvezdara, Lion, Silvija Kranjčevića",65 m2,2.0,VPR
800 €,"Opština Vračar, Crveni krst, Grčića Milenka",75 m2,3.0,XIII
690 €,"Opština Savski venac, Gavrila Principa, Gavrila Principa",63 m2,3.0,I/3
350 €,"Opština Savski venac, Humska, Oblakovska",30 m2,0.5,I/3
290 €,"Opština Vračar, Južni bulevar, Cerska",24 m2,1.0,N/A
3.000 €,"Opština Vračar, Hram svetog Save, Šumatovačka",231 m2,5+,IV/5
450 €,"Opština Stari grad, Centar, Venizelosova",25 m2,1.0,III/4
1.100 €,"Opština Palilula, Dalmatinska, Dalmatinska",58 m2,2.0,VI/7
430 €,"Opština Čukarica, Bele vode, Lazara Komarčića",58 m2,2.0,II/2
250 €,"Opština Zvezdara, Mirijevo, Aleksandra Belića",33 m2,1.0,IV/5
500 €,"Opština Voždovac, TC Stadion, Braće Jerković",60 m2,3.0,VPR/4
450 €,"Opština Zvezdara, Cvetkova pijaca, Vjekoslava Kovača",34 m2,2.0,VPR
350 €,"Opština Voždovac, Braće Jerković, Dragice Končar",37 m2,2.0,V/5
1.200 €,"Opština Stari grad, Dorćol, Gospodar Jovanova",100 m2,4.0,VPR/5
350 €,"Opština Zvezdara, Lion, Madridska",30 m2,1.0,I/5
380 €,"Opština Palilula, Karaburma, Danteova",40 m2,1.5,I/5
380 €,"Opština Zvezdara, Zvezdarska padina, Dukatska",60 m2,2.5,III/4
400 €,"Opština Zemun, Novi grad, Železnička",27 m2,1.5,II/4
400 €,"Opština Palilula, Centar, Cvijićeva",38 m2,1.0,V/5
900 €,"Opština Zvezdara, Severni bulevar, Zvezdarskih jelki",78 m2,3.0,I/3
1.300 €,"Opština Savski venac, Dedinje, Sime Lozanića",65 m2,3.0,III/4
1.000 €,"Opština Stari grad, K-District",49 m2,2.0,IV
1.500 €,"Opština Stari grad, Dom omladine, Dečanska",116 m2,4.0,IV/7
1.500 €,"Opština Novi Beograd, Blok 68, Jurija Gagarina",113 m2,4.0,VI/9
320 €,"Opština Palilula, Mašinski fakultet, Kraljice Marije",20 m2,0.5,PR/1
350 €,"Opština Rakovica, Stari Košutnjak, Pere Velimirovića",50 m2,2.0,II/3
450 €,"Opština Palilula, Karaburma, Juhorska",35 m2,1.5,III/5
350 €,"Opština Čukarica, Žarkovo, Milana Jovanovića",40 m2,1.5,VPR/8
500 €,"Opština Rakovica, Kanarevo brdo, Vukasovićeva",58 m2,2.5,PR/5
2.500 €,"Opština Stari grad, Skupština, Svetogorska",135 m2,4.0,II/5
950 €,"Opština Novi Beograd, Blok 65, Omladinskih brigada",40 m2,1.0,V/15
650 €,"Opština Voždovac, Vitanovačka, 9 Petrovačka",46 m2,2.0,I/3
550 €,"Opština Novi Beograd, Blok 28, Bulevar Milutina Milankovića",28 m2,0.5,X/16
320 €,"Opština Voždovac, Vojvode Vlahovića, Miljana Miljanića 16",26 m2,1.0,IV/5
420 €,"Opština Voždovac, Medaković 3, Braće Srnić",32 m2,1.5,N/A
200 €,"Opština Stari grad, Centar, Džordža Vašingtona",12 m2,0.5,III/4
300 €,"Opština Čukarica, Žarkovo, Vodovodska",27 m2,1.0,III/3
350 €,"Opština Zemun, Kolonija Zmaj, Božidara Savićevića",40 m2,2.0,I/1
1.000 €,"Opština Vračar, Crveni krst, Dravska",75 m2,2.5,V/8
500 €,"Opština Voždovac, Kumodraška, Stevana Jakovljevića",50 m2,2.5,VPR/4
280 €,"Opština Palilula, Borča, JNA",40 m2,2.0,VPR
320 €,"Opština Zvezdara, Mirijevo, Mihaila Bulgakova",45 m2,1.5,IV/4
1.600 €,"Opština Vračar, Hram svetog Save, Podgorička",110 m2,4.0,IV/5
450 €,"Opština Zemun, Centar, Sevina",46 m2,2.0,II/4
450 €,"Opština Voždovac, TC Stadion, Medakovićeva",50 m2,1.5,PR/1
350 €,"Opština Čukarica, Banovo brdo, Valjevska",28 m2,1.0,PR/5
600 €,"Opština Vračar, Hram svetog Save, Nikolaja Krasnova",56 m2,2.0,I/5
400 €,"Opština Voždovac, Siva stena, Miloša Svetića",48 m2,2.0,PR/2
2.500 €,"Opština Vračar, Hram svetog Save, Patrijarha Varnave",203 m2,5+,III/4
350 €,"Opština Stari grad, Bajlonijeva pijaca, Žorža Klemansoa",17 m2,1.0,III/5
600 €,"Opština Zemun, Kalvarija, Marije Bursać",46 m2,2.0,VI/8
1.350 €,"Opština Novi Beograd, Blok 33, Bulevar Arsenija Čarnojevića",122 m2,5.0,II/4
650 €,"Opština Zvezdara, Gradska bolnica, Preševska",80 m2,3.0,V
1.200 €,"Opština Stari grad, Dorćol, Žorža Klemansoa",86 m2,3.0,VPR/3
550 €,"Opština Savski venac, Sajam, Koste Glavinića",38 m2,2.5,I/4
850 €,"Opština Stari grad, Dorćol, Pjarona de Mondezira",65 m2,2.0,I/4
250 €,"Opština Palilula, Višnjička Banja, Zore Drempetić",25 m2,1.5,PR/4
650 €,"Opština Stari grad, Centar, Studentski Trg",35 m2,1.5,VI/7
2.000 €,"Opština Novi Beograd, YUBC, Bulevar Mihajla Pupina",126 m2,3.0,V/5
550 €,"Opština Palilula, Višnjička Banja, Slanački put",46 m2,2.0,I/5
1.200 €,"Opština Palilula, Poštanska štedionica, Stanoja Glavaša",63 m2,2.0,VI
850 €,"Opština Stari grad, K-District, Bulevar vojvode Bojovića 4a",46 m2,2.0,I/7
1.450 €,"Opština Savski venac, Beograd na vodi, Nikolaja Kravcova","65,75 m2",2.0,PR/8
900 €,"Opština Vračar, Kalenić pijaca, Ivana Đaje",67 m2,3.0,II/4
450 €,"Opština Zemun, Save Kovačevića, Blagoja Jovovića",64 m2,2.0,I/4
500 €,"Opština Vračar, Hram svetog Save, Dubljanska",42 m2,2.0,PR/1
800 €,"Opština Zvezdara, Đeram pijaca, Preševska",53 m2,2.5,I/6
600 €,"Opština Vračar, Crveni krst, Hadži Đerina",40 m2,1.0,VPR/5
450 €,"Opština Zvezdara, Mirijevo, Mihaila Bulgakova",55 m2,1.5,III/3
650 €,"Opština Savski venac, Ekonomski fakultet, Gavrila Principa",50 m2,1.5,III/4
700 €,"Opština Vračar, Čubura, Cerska",45 m2,2.0,II/4
400 €,"Opština Surčin, Surčin (mesto), Stanislava Biničkog",85 m2,4.0,I
1.000 €,"Opština Vračar, Slavija, Kralja Milutina 33",54 m2,2.0,II
400 €,"Opština Zemun, Save Kovačevića, Crnogorska",30 m2,0.5,II/3
550 €,"Opština Zvezdara, Lion, Bulevar kralja Aleksandra",56 m2,2.0,I/5
480 €,"Opština Čukarica, Banovo brdo, Požeška",52 m2,2.0,II/4
1.100 €,"Opština Stari grad, Terazije, Nušićeva",45 m2,2.0,V/6
850 €,"Opština Zvezdara, Lion, Ravanička",49 m2,2.5,I/5
2.000 €,"Opština Vračar, Krunski venac, Krunska",120 m2,5+,VPR/4
2.800 €,"Opština Savski venac, Beograd na vodi, Luke Ćelovića Trebinjca",53 m2,2.0,PR/10
990 €,"Opština Vračar, Slavija, Svetozara Markovića",60 m2,2.0,III/6
400 €,"Opština Zvezdara, Učiteljsko naselje, Mis Irbijeve",30 m2,1.0,I/2
600 €,"Opština Zvezdara, Cvetkova pijaca, Živka Davidovića",60 m2,3.0,PR/3
2.600 €,"Opština Savski venac, Dedinje, Miloja Đaka",140 m2,4.0,I/3
700 €,"Opština Novi Beograd, Blok 67 (Belvil), Jurija Gagarina",68 m2,2.0,II/10
400 €,"Opština Zvezdara, Đeram pijaca, Đuke Dinić",41 m2,2.0,PR/3
2.300 €,"Opština Vračar, Krunska","128,97 m2",4.0,N/A
650 €,"Opština Novi Beograd, Blok 44 (TC Piramida), Gandijeva",50 m2,2.0,I/4
450 €,"Opština Savski venac, Klinički centar, Tiršova",40 m2,1.5,VII/8
2.500 €,"Opština Stari grad, Centar",85 m2,3.0,IV
2.000 €,"Opština Vračar, Hram svetog Save",100 m2,3.0,N/A
700 €,"Opština Voždovac, Vojvode Stepe, Otokara Keršovanija",48 m2,2.0,IV/8
700 €,"Opština Vračar, Slavija, Makenzijeva",65 m2,2.0,I/6
250 €,"Opština Grocka, Kaluđerica, Kralja Petra I",25 m2,0.5,PR/5
1.500 €,"Opština Stari grad, Obilićev venac, Đure Jakšića",100 m2,3.0,VPR/5
350 €,"Opština Novi Beograd, Blok 9a, Džona Kenedija",33 m2,1.0,VIII/9
1.400 €,"Opština Stari grad, Dorćol, Venizelosova",65 m2,2.0,II/8
2.700 €,"Opština Savski venac, Dedinje, Heroja Milana Tepića",100 m2,3.0,III/5
750 €,"Opština Vračar, Južni bulevar, Kneza Stracimira",50 m2,2.0,III/5
950 €,"Opština Vračar, Krunska, Desanke Maksimović",82 m2,3.0,II/5
550 €,"Opština Stari grad, Dorćol, Mike Alasa",45 m2,1.5,PR/6
300 €,"Opština Zvezdara, Mirijevo, Kapetana Miloša Žunjića",30 m2,1.0,I/4
1.600 €,"Opština Stari grad, Dorćol",89 m2,3.0,V/6
800 €,"Opština Stari grad, Centar, Dragoslava Jovanovića",54 m2,2.0,III/3
